"","grp.age","grp.edu","grp.empl","kid.num","home.size","gender","race","marital.st","disability","religion","sexual.orient","poli.affil","SW.program","urbanity","spirituality","sc.idx.1","sc.idx.2","gr.idx.1","gr.idx.2"
"40","[1,23]","Bachelor","entry","With-kid","3+","female","white","single-or-once-married","Yes","traditional-religion","heterosexual or bisexual","Democrat","BSW","Urban","high",0.187616250358834,1.49482586877002,0.687522326766956,-1.2859332423422
"41","[1,23]","Bachelor","junior","With-kid","3+","female","white","married-or-partner","No","non-traditional-answer","heterosexual or bisexual","Democrat","BSW","Urban","low",3.44829345326927,-0.650064661972965,-3.16270033928039,-0.880087598288544
"42","[24,30]","Adv.deg","junior","No-kid","3+","other","white","married-or-partner","Yes","non-traditional-answer","heterosexual or bisexual","Democrat","BSW","Suburban","high",5.02425484690842,0.748013982455324,-7.92424082806418,0.757557387648649
"43","[30,99]","Bachelor","senior","No-kid","1-2","female","white","married-or-partner","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Urban","low",0.85249825173307,-0.553167423272032,1.17309225544208,-0.406512411630411
"44","[1,23]","Bachelor","entry","No-kid","3+","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Democrat","BSW","Suburban","high",0.18388478214987,0.951323294164313,-1.10877843858364,0.424525881399655
"45","[30,99]","Bachelor","junior","No-kid","1-2","female","white","married-or-partner","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Urban","high",-3.18828977823555,-0.56477739699544,0.942973903369628,-0.857124243633284
"46","[30,99]","Bachelor","senior","No-kid","1-2","male","white","married-or-partner","Yes","non-traditional-answer","heterosexual or bisexual","Independent","BSW","Suburban","high",-2.5994104668948,1.14635631159256,1.70932863317765,0.429302752493465
"47","[1,23]","Bachelor","entry","No-kid","3+","female","white","single-or-once-married","No","traditional-religion","homosexual","Democrat","MSW","Urban","low",-0.81143733781896,-1.18450848861527,-1.58521423757026,-0.0693487837997918
"48","[1,23]","Bachelor","entry","No-kid","1-2","female","white","single-or-once-married","No","non-traditional-answer","heterosexual or bisexual","Democrat","MSW","Suburban","high",-0.101318590352294,0.645871613716775,-1.06163111401325,-0.0575459895576199
"49","[24,30]","Bachelor","junior","No-kid","3+","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Urban","high",0.908803419061966,-0.553168701264818,-0.398504039301708,0.50125828505767
"50","[30,99]","Bachelor","senior","With-kid","3+","female","white","married-or-partner","No","non-traditional-answer","heterosexual or bisexual","Republican","MSW","Suburban","high",2.52438392151078,0.796926188105273,1.3164295594917,0.656245426665486
"51","[1,23]","Bachelor","entry","No-kid","3+","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Democrat","BSW","Rural","high",-2.49472453037919,2.75459073923322,1.45387705657497,0.000493753784548912
"52","[30,99]","Bachelor","senior","With-kid","3+","male","white","married-or-partner","No","traditional-religion","heterosexual or bisexual","Independent","MSW","Rural","low",-0.787667025778203,-0.975276264458541,-4.06247224788987,-0.00716347279757246
"53","[30,99]","Bachelor","senior","No-kid","3+","female","white","married-or-partner","Yes","non-religion","homosexual","Democrat","BSW","Suburban","high",-3.3699242675095,0.0621654453419285,0.702184544555497,-0.288041055018509
"54","[1,23]","Bachelor","junior","No-kid","3+","female","non-white","single-or-once-married","No","non-traditional-answer","heterosexual or bisexual","Democrat","MSW","Suburban","high",1.51174363098055,-0.0532345172054693,1.17309225544208,-0.406512411630411
"55","[1,23]","Assoc","entry","No-kid","1-2","female","white","single-or-once-married","No","non-traditional-answer","heterosexual or bisexual","Republican","BSW","Suburban","high",2.56573055834622,0.246969851558592,0.191281391350151,-1.14565905243634
"56","[24,30]","Assoc","junior","No-kid","1-2","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Democrat","BSW","Urban","high",-2.34802527981689,-0.207071043512932,-0.565390178596448,-0.197820179463479
"57","[24,30]","Bachelor","junior","No-kid","1-2","female","white","single-or-once-married","Yes","non-religion","heterosexual or bisexual","Democrat","MSW","Urban","low",-0.698227465156149,-1.14820242077199,-1.78455876747374,-0.95829076309734
"58","[24,30]","Bachelor","entry","No-kid","1-2","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Democrat","MSW","Urban","high",1.66738342100107,-0.985525140805792,-0.172491104910501,-0.424762853635499
"59","[1,23]","Assoc","entry","No-kid","3+","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Independent","BSW","Suburban","low",-1.00860050003498,-1.85221509829722,1.17309225544208,-0.406512411630411
"60","[30,99]","Bachelor","senior","No-kid","3+","female","white","married-or-partner","No","traditional-religion","heterosexual or bisexual","Independent","MSW","Rural","high",0.310971148353753,0.801502014416318,0.982969345688388,0.118965110396451
"61","[24,30]","Bachelor","entry","No-kid","1-2","female","white","married-or-partner","No","non-religion","heterosexual or bisexual","Democrat","MSW","Urban","high",1.96521558619918,0.810353935304039,1.45387705657497,0.000493753784548912
"62","[1,23]","Bachelor","junior","No-kid","1-2","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Democrat","MSW","Urban","low",-0.0526988951572688,-0.470256628376769,1.07706287109635,0.461041666395568
"63","[24,30]","Bachelor","junior","No-kid","1-2","female","white","single-or-once-married","Yes","non-religion","heterosexual or bisexual","Independent","MSW","Urban","low",-1.05732280129999,-0.410394994720901,0.309285470869549,-0.0610983808464884
"64","[24,30]","Bachelor","entry","No-kid","1-2","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Rural","low",3.11993616762873,1.24263432787668,0.687522326766956,-1.2859332423422
"65","[24,30]","Bachelor","junior","No-kid","1-2","female","white","married-or-partner","Yes","traditional-religion","heterosexual or bisexual","Democrat","MSW","Suburban","low",1.26192580631923,-0.58673343622787,-1.74068248179863,1.56242828466724
"66","[30,99]","Bachelor","junior","With-kid","3+","female","white","married-or-partner","No","non-traditional-answer","heterosexual or bisexual","Independent","MSW","Rural","high",-1.21323567723722,-0.354908878780591,1.45387705657497,0.000493753784548912
"67","[24,30]","Bachelor","entry","No-kid","1-2","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Independent","BSW","Rural","high",2.03049282742968,-0.459198648092949,-0.042195490078855,0.377646698470574
"68","[24,30]","Bachelor","entry","No-kid","3+","other","white","married-or-partner","Yes","traditional-religion","homosexual","Democrat","MSW","Urban","high",2.74188322747688,-0.411911329818513,-2.52878733245542,-1.84411018411414
"69","[24,30]","Assoc","senior","No-kid","1-2","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Democrat","BSW","Urban","high",0.00452317748933964,-0.431420957950326,1.70932863317765,0.429302752493465
"70","[30,99]","Assoc","senior","No-kid","3+","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Rural","high",2.57318700192868,0.312893211448337,1.70932863317765,0.429302752493465
"71","[30,99]","Bachelor","entry","No-kid","1-2","female","white","married-or-partner","No","non-religion","non-specific sexual orientation","Independent","MSW","Suburban","high",-3.02714622678663,0.333534065012222,0.700248685617728,0.921589579006587
"72","[24,30]","Bachelor","entry","No-kid","3+","female","white","married-or-partner","No","non-traditional-answer","heterosexual or bisexual","Independent","MSW","Suburban","high",-3.21897262456341,1.10313109994324,1.70932863317765,0.429302752493465
"73","[24,30]","Bachelor","entry","No-kid","1-2","female","non-white","married-or-partner","No","non-religion","heterosexual or bisexual","Independent","MSW","Urban","low",0.117165638568196,-0.469139632677428,0.606155160209765,0.57951302300747
