region,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,prop_del,SelectionProb,SamplingWeight
North East,2023,1,NK,Spirit Airlines,PHL,"Philadelphia, PA: Philadelphia International",494,165,56.77,2.57,63.01,5.28,37.38,10,0,10981,3671,482,3556,241,3031,0.334008097,0.163621262,6.111675127
North East,2023,1,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",382,94,34.38,1.95,28.28,0,29.39,3,0,5540,1967,82,1282,0,2209,0.246073298,0.163621262,6.111675127
North East,2023,1,WN,Southwest Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5489,858,278.48,5.21,169.56,3.61,401.14,97,5,57430,21367,640,6975,122,28326,0.156312625,0.163621262,6.111675127
North East,2023,1,ZW,Air Wisconsin Airlines Co,IAD,"Washington, DC: Washington Dulles International",471,94,20.28,1.19,30.59,0,41.94,5,1,9413,1553,390,1001,0,6469,0.199575372,0.163621262,6.111675127
North West,2023,12,DL,Delta Air Lines Network,SLC,"Salt Lake City, UT: Salt Lake City International",4411,306,113.06,11.01,59.06,1,121.87,0,4,28693,14441,1888,1918,25,10421,0.069372024,0.164750958,6.069767442
North West,2023,12,WN,Southwest Airlines,SLC,"Salt Lake City, UT: Salt Lake City International",1048,152,77.37,0,6.9,0,67.73,6,0,6771,3253,0,145,0,3373,0.145038168,0.164750958,6.069767442
North West,2023,12,AS,Alaska Airlines Network,SEA,"Seattle, WA: Seattle/Tacoma International",6216,936,209.35,23.56,314.45,5.56,383.08,40,9,48878,14548,1913,9607,187,22623,0.150579151,0.164750958,6.069767442
North West,2023,12,NK,Spirit Airlines,SEA,"Seattle, WA: Seattle/Tacoma International",63,7,2.46,0,1.98,0,2.56,0,0,619,203,0,109,0,307,0.111111111,0.164750958,6.069767442
North West,2023,11,AS,Alaska Airlines Network,SLC,"Salt Lake City, UT: Salt Lake City International",95,19,4.29,0.22,5.59,0,8.9,0,0,895,180,17,201,0,497,0.2,0.164750958,6.069767442
North West,2023,11,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",67,20,10.64,0,5.32,0,4.04,0,0,1471,894,0,169,0,408,0.298507463,0.164750958,6.069767442
North West,2023,11,NK,Spirit Airlines,SLC,"Salt Lake City, UT: Salt Lake City International",101,26,11.92,0,7.64,0,6.44,0,0,1788,927,0,400,0,461,0.257425743,0.164750958,6.069767442
North West,2023,10,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2848,262,87.1,6.08,104.89,0,63.92,4,2,16713,8654,617,2934,0,4508,0.091994382,0.164750958,6.069767442
North West,2023,10,F9,Frontier Airlines,SLC,"Salt Lake City, UT: Salt Lake City International",184,52,20.82,0,12.25,0,18.93,0,0,3994,2131,0,663,0,1200,0.282608696,0.164750958,6.069767442
North West,2023,10,QX,Horizon Air,SEA,"Seattle, WA: Seattle/Tacoma International",1424,171,40.24,6.59,73.02,0,51.14,0,0,8937,3412,337,2062,0,3126,0.12008427,0.164750958,6.069767442
North West,2023,9,AS,Alaska Airlines Network,SEA,"Seattle, WA: Seattle/Tacoma International",7356,1156,275.43,25.99,365.55,12.68,476.35,32,6,60128,21470,2223,10968,600,24867,0.157150625,0.164750958,6.069767442
North West,2023,9,AS,Alaska Airlines Network,SLC,"Salt Lake City, UT: Salt Lake City International",112,18,8.11,0,6.67,0,3.22,1,0,678,419,0,170,0,89,0.160714286,0.164750958,6.069767442
North West,2023,9,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",129,45,27.58,1,6.87,0,9.55,3,0,4643,3379,110,412,0,742,0.348837209,0.164750958,6.069767442
North West,2023,9,F9,Frontier Airlines,SEA,"Seattle, WA: Seattle/Tacoma International",145,30,11.29,0.24,6.9,0,11.57,0,0,1291,496,10,199,0,586,0.206896552,0.164750958,6.069767442
North West,2023,9,QX,Horizon Air,SEA,"Seattle, WA: Seattle/Tacoma International",1426,167,36.41,0.76,78.96,0.73,50.14,1,0,6768,2149,35,2342,11,2231,0.117110799,0.164750958,6.069767442
North West,2023,9,UA,United Air Lines Network,SLC,"Salt Lake City, UT: Salt Lake City International",309,59,21.48,1,9.39,0,27.13,4,0,3062,1205,20,207,0,1630,0.190938511,0.164750958,6.069767442
North West,2023,8,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",182,47,23.62,0,15.56,0,7.82,3,1,2954,1496,0,741,0,717,0.258241758,0.164750958,6.069767442
North West,2023,8,QX,Horizon Air,SEA,"Seattle, WA: Seattle/Tacoma International",1453,179,41.57,3.83,79.2,0,54.4,4,1,7526,2510,445,2384,0,2187,0.123193393,0.164750958,6.069767442
North West,2023,8,WN,Southwest Airlines,SEA,"Seattle, WA: Seattle/Tacoma International",875,245,84.86,6.22,46.83,0,107.1,4,3,11656,3804,845,1695,0,5312,0.28,0.164750958,6.069767442
North West,2023,8,WN,Southwest Airlines,SLC,"Salt Lake City, UT: Salt Lake City International",1036,228,93.73,3.33,25.19,0.6,105.15,11,4,10047,3615,232,1024,58,5118,0.22007722,0.164750958,6.069767442
North West,2023,7,AA,American Airlines Network,SEA,"Seattle, WA: Seattle/Tacoma International",614,224,83.06,12.2,51.75,1.03,75.96,14,2,21288,8717,815,2154,114,9488,0.364820847,0.164750958,6.069767442
North West,2023,7,AS,Alaska Airlines Network,SEA,"Seattle, WA: Seattle/Tacoma International",7633,1622,406.94,61.19,537.64,9.74,606.5,32,15,91175,28397,5376,18201,567,38634,0.212498362,0.164750958,6.069767442
North West,2023,7,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",181,59,30.73,2.27,15.87,0,10.12,5,0,5684,3259,180,1230,0,1015,0.325966851,0.164750958,6.069767442
North West,2023,7,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",3201,643,280.21,24.41,128.19,0,210.19,27,2,51989,30194,1552,5288,0,14955,0.200874727,0.164750958,6.069767442
North West,2023,7,MQ,Envoy Air,SLC,"Salt Lake City, UT: Salt Lake City International",1,1,0.42,0,0,0,0.58,0,0,84,35,0,0,0,49,1,0.164750958,6.069767442
North West,2023,6,AA,American Airlines Network,SEA,"Seattle, WA: Seattle/Tacoma International",602,179,73.92,9.54,28.76,2.98,63.8,4,1,16532,6538,1758,1333,84,6819,0.297342193,0.164750958,6.069767442
North West,2023,6,AS,Alaska Airlines Network,SEA,"Seattle, WA: Seattle/Tacoma International",6935,1395,350.72,29.2,419.42,14.16,581.49,24,13,79157,25341,2342,15303,513,35658,0.201153569,0.164750958,6.069767442
North West,2023,6,AS,Alaska Airlines Network,SLC,"Salt Lake City, UT: Salt Lake City International",92,22,11.37,0,4.85,1,4.78,0,0,1583,1132,0,205,18,228,0.239130435,0.164750958,6.069767442
North West,2023,6,F9,Frontier Airlines,SLC,"Salt Lake City, UT: Salt Lake City International",119,51,13.8,0,11.43,0,25.77,7,1,3118,694,0,519,0,1905,0.428571429,0.164750958,6.069767442
North West,2023,6,HA,Hawaiian Airlines Network,SEA,"Seattle, WA: Seattle/Tacoma International",60,34,27.59,0,0.25,1.64,4.52,0,0,2619,1636,0,4,58,921,0.566666667,0.164750958,6.069767442
North West,2023,5,AS,Alaska Airlines Network,SEA,"Seattle, WA: Seattle/Tacoma International",6434,828,231.48,13.75,239.78,6.88,336.11,20,4,41116,12449,1585,6858,317,19907,0.128691327,0.164750958,6.069767442
North West,2023,5,YV,Mesa Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",26,11,6.67,0.8,1.89,0,1.64,2,0,568,389,33,80,0,66,0.423076923,0.164750958,6.069767442
North West,2023,4,AA,American Airlines Network,SEA,"Seattle, WA: Seattle/Tacoma International",435,127,33.98,5.38,35.52,0.31,51.81,5,1,8963,3018,324,1034,25,4562,0.291954023,0.164750958,6.069767442
North West,2023,4,AA,American Airlines Network,SLC,"Salt Lake City, UT: Salt Lake City International",274,89,30.41,3.95,12.23,0,42.42,5,0,5286,1647,277,498,0,2864,0.324817518,0.164750958,6.069767442
North West,2023,4,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2581,350,134.99,7.85,70.34,0,136.81,73,3,30407,15315,2328,2647,0,10117,0.135606354,0.164750958,6.069767442
North West,2023,3,AA,American Airlines Network,SLC,"Salt Lake City, UT: Salt Lake City International",332,111,30.15,2.76,24.88,0,53.21,4,2,6404,2261,188,918,0,3037,0.334337349,0.164750958,6.069767442
North West,2023,3,WN,Southwest Airlines,SEA,"Seattle, WA: Seattle/Tacoma International",629,120,38.31,0.83,12.85,0,68.01,2,0,5117,1358,44,432,0,3283,0.190779014,0.164750958,6.069767442
North West,2023,3,YV,Mesa Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",30,13,5.86,0,0.57,0,6.56,0,0,955,277,0,18,0,660,0.433333333,0.164750958,6.069767442
North West,2023,2,AS,Alaska Airlines Network,SLC,"Salt Lake City, UT: Salt Lake City International",84,19,4.93,0.84,7.09,0,6.13,5,0,931,405,16,301,0,209,0.226190476,0.164750958,6.069767442
North West,2023,2,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2339,329,120.67,12.61,80.16,0.74,114.81,35,3,35407,19053,1459,2961,64,11870,0.140658401,0.164750958,6.069767442
North West,2023,2,NK,Spirit Airlines,SLC,"Salt Lake City, UT: Salt Lake City International",102,42,15,0.28,16.96,0.4,9.36,2,0,1985,604,35,586,18,742,0.411764706,0.164750958,6.069767442
North West,2023,1,AA,American Airlines Network,SLC,"Salt Lake City, UT: Salt Lake City International",339,74,32.94,2.19,20.95,0,17.93,8,0,5030,2341,462,926,0,1301,0.218289086,0.164750958,6.069767442
North West,2023,1,AS,Alaska Airlines Network,SEA,"Seattle, WA: Seattle/Tacoma International",5804,1003,218.23,32.95,344.08,6.58,401.16,82,10,53876,13727,2290,11356,274,26229,0.172811854,0.164750958,6.069767442
South Central,2023,12,B6,JetBlue Airways,AUS,"Austin, TX: Austin - Bergstrom International",93,36,14.09,0.98,8.45,0.17,12.3,0,0,2324,1080,123,313,6,802,0.387096774,0.16293279,6.1375
South Central,2023,12,F9,Frontier Airlines,AUS,"Austin, TX: Austin - Bergstrom International",19,2,0.6,0,0.51,0,0.89,0,0,79,15,0,16,0,48,0.105263158,0.16293279,6.1375
South Central,2023,12,YX,Republic Airline,AUS,"Austin, TX: Austin - Bergstrom International",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16293279,6.1375
South Central,2023,12,YX,Republic Airline,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4,1,1,0,0,0,0,0,0,28,28,0,0,0,0,0.25,0.16293279,6.1375
South Central,2023,12,WN,Southwest Airlines,AUS,"Austin, TX: Austin - Bergstrom International",3402,585,160.45,0.97,122.68,5.69,295.21,13,5,27655,7336,32,3613,475,16199,0.171957672,0.16293279,6.1375
South Central,2023,11,DL,Delta Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",960,120,45.14,0.61,55.69,0,18.56,0,1,6978,3782,30,1633,0,1533,0.125,0.16293279,6.1375
South Central,2023,11,DL,Delta Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",989,124,66.29,1,36.23,1,19.48,0,0,6253,4285,35,1001,37,895,0.125379171,0.16293279,6.1375
South Central,2023,11,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5111,714,149.48,41.24,270.71,2.66,249.92,4,1,38257,10596,2906,8351,91,16313,0.139698689,0.16293279,6.1375
South Central,2023,11,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1831,346,159.26,46.98,85.43,3.31,51.02,7,2,38019,24850,7526,2900,102,2641,0.188967777,0.16293279,6.1375
South Central,2023,11,UA,United Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",697,118,39.89,0,47.38,0,30.73,1,0,6385,2368,0,1507,0,2510,0.169296987,0.16293279,6.1375
South Central,2023,11,WN,Southwest Airlines,AUS,"Austin, TX: Austin - Bergstrom International",3269,552,170,1.4,149.06,1.88,229.65,4,0,21616,7271,118,5144,30,9053,0.168858978,0.16293279,6.1375
South Central,2023,10,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",79,14,5,0,8.57,0,0.44,0,1,690,461,0,190,0,39,0.17721519,0.16293279,6.1375
South Central,2023,10,AA,American Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",580,126,46.93,1.31,35.96,1.45,40.36,10,0,8058,3448,49,1298,59,3204,0.217241379,0.16293279,6.1375
South Central,2023,10,DL,Delta Air Lines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",684,95,41.53,2.21,39.07,0,12.2,0,0,6751,4068,304,1047,0,1332,0.138888889,0.16293279,6.1375
South Central,2023,10,OH,PSA Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",468,78,23.54,4.33,17.64,0.24,32.25,11,1,7674,2513,595,629,5,3932,0.166666667,0.16293279,6.1375
South Central,2023,10,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",1193,182,109,1,17,0,55,3,2,16077,7319,115,1319,0,7324,0.15255658,0.16293279,6.1375
South Central,2023,10,WN,Southwest Airlines,IAH,"Houston, TX: George Bush Intercontinental/Houston",467,106,30.53,0.9,32.98,0,41.59,1,0,4643,1065,84,1567,0,1927,0.226980728,0.16293279,6.1375
South Central,2023,10,YX,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",44,10,5.33,0,4.67,0,0,0,1,2544,2429,0,115,0,0,0.227272727,0.16293279,6.1375
South Central,2023,9,AA,American Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",13265,2274,701.49,86.44,491.55,4.99,989.54,75,61,230841,89147,8976,18872,199,113647,0.171428571,0.16293279,6.1375
South Central,2023,9,DL,Delta Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",902,197,85.3,1.93,62.5,0,47.26,11,4,13776,6897,403,2333,0,4143,0.218403548,0.16293279,6.1375
South Central,2023,9,OO,SkyWest Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",173,37,11.91,1.11,5.67,0,18.31,1,0,3360,1781,123,268,0,1188,0.213872832,0.16293279,6.1375
South Central,2023,9,YV,Mesa Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",33,10,4.33,0,3.59,0,2.08,0,0,464,235,0,109,0,120,0.303030303,0.16293279,6.1375
South Central,2023,9,YX,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",54,9,3.32,0.44,4.32,0,0.92,3,2,687,393,7,126,0,161,0.166666667,0.16293279,6.1375
South Central,2023,8,DL,Delta Air Lines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",706,143,70.96,5.07,33.69,0,33.27,13,1,13484,7736,1491,1637,0,2620,0.202549575,0.16293279,6.1375
South Central,2023,8,HA,Hawaiian Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16293279,6.1375
South Central,2023,8,MQ,Envoy Air,AUS,"Austin, TX: Austin - Bergstrom International",683,102,23.86,3.53,35.53,0,39.07,4,1,5447,1440,237,1056,0,2714,0.149341142,0.16293279,6.1375
South Central,2023,8,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",834,131,84,3,0,0,44,2,1,13713,8036,284,0,0,5393,0.157074341,0.16293279,6.1375
South Central,2023,8,YX,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",51,5,1,0,3,0,1,0,0,323,162,0,90,0,71,0.098039216,0.16293279,6.1375
South Central,2023,7,AS,Alaska Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",216,54,25.04,0,13.58,0.14,15.24,0,0,2085,1041,0,447,6,591,0.25,0.16293279,6.1375
South Central,2023,7,B6,JetBlue Airways,AUS,"Austin, TX: Austin - Bergstrom International",93,39,18.93,1.83,12.96,0,5.28,2,0,3557,1920,473,759,0,405,0.419354839,0.16293279,6.1375
South Central,2023,7,DL,Delta Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",927,281,132.58,10.89,72.48,0,65.05,19,0,21042,10620,859,3624,0,5939,0.303128371,0.16293279,6.1375
South Central,2023,7,F9,Frontier Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",628,280,75.73,6.03,76.72,0,121.52,20,0,19295,4831,619,3572,0,10273,0.445859873,0.16293279,6.1375
South Central,2023,7,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4866,712,163.74,53.42,127.73,1.12,365.98,10,4,48570,15804,4274,5987,22,22483,0.146321414,0.16293279,6.1375
South Central,2023,7,QX,Horizon Air,AUS,"Austin, TX: Austin - Bergstrom International",18,3,1,0,2,0,0,0,0,220,137,0,83,0,0,0.166666667,0.16293279,6.1375
South Central,2023,7,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",171,60,26.98,2.41,5.11,0,25.49,6,1,6762,1761,259,203,0,4539,0.350877193,0.16293279,6.1375
South Central,2023,6,AA,American Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",1329,465,126.52,28.91,140.2,0.3,169.07,9,5,39975,13150,3088,6128,41,17568,0.349887133,0.16293279,6.1375
South Central,2023,6,AA,American Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",14206,4140,981.87,266.42,989.32,7.97,1894.42,150,120,416577,118772,25206,48946,347,223306,0.291426158,0.16293279,6.1375
South Central,2023,6,AS,Alaska Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",72,35,5.61,0,17.18,0.8,11.41,0,0,1223,334,0,495,20,374,0.486111111,0.16293279,6.1375
South Central,2023,6,F9,Frontier Airlines,AUS,"Austin, TX: Austin - Bergstrom International",26,9,4.26,0,1.95,0,2.79,1,0,635,384,0,104,0,147,0.346153846,0.16293279,6.1375
South Central,2023,6,F9,Frontier Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",626,273,62.64,4.29,80.44,0,125.62,34,3,22744,5459,1140,3933,0,12212,0.436102236,0.16293279,6.1375
South Central,2023,6,F9,Frontier Airlines,IAH,"Houston, TX: George Bush Intercontinental/Houston",119,46,9.4,0.75,19.3,0,16.55,2,1,3089,689,29,1061,0,1310,0.386554622,0.16293279,6.1375
South Central,2023,6,NK,Spirit Airlines,AUS,"Austin, TX: Austin - Bergstrom International",240,74,20.6,6.31,30.81,0.38,15.9,10,1,5481,1523,651,1830,27,1450,0.308333333,0.16293279,6.1375
South Central,2023,6,OO,SkyWest Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",175,57,26,8,0,0,23,1,3,7233,4777,524,0,0,1932,0.325714286,0.16293279,6.1375
South Central,2023,5,AS,Alaska Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",248,59,12.97,0.48,39.9,0,5.66,0,1,2503,659,27,1314,0,503,0.237903226,0.16293279,6.1375
South Central,2023,5,F9,Frontier Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",621,220,60.08,3.8,61.9,0,94.22,5,3,21923,6322,249,3321,0,12031,0.354267311,0.16293279,6.1375
South Central,2023,5,YV,Mesa Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",45,16,8.73,1,0.19,0,6.08,1,0,1189,672,78,10,0,429,0.355555556,0.16293279,6.1375
South Central,2023,5,YV,Mesa Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",2408,733,224.29,20.23,152.99,0,335.49,149,32,90526,29171,3295,15284,0,42776,0.304401993,0.16293279,6.1375
South Central,2023,5,YX,Republic Airline,AUS,"Austin, TX: Austin - Bergstrom International",7,1,0.22,0,0.78,0,0,0,0,27,6,0,21,0,0,0.142857143,0.16293279,6.1375
South Central,2023,5,YX,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",48,5,0.57,0,2.83,0,1.6,0,2,390,97,0,91,0,202,0.104166667,0.16293279,6.1375
South Central,2023,4,AA,American Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",1307,393,102.16,9.7,125.14,0.06,155.94,34,5,33574,11920,1442,6391,6,13815,0.3006886,0.16293279,6.1375
South Central,2023,4,AS,Alaska Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",58,21,4.6,0,12.73,1.39,2.29,0,1,602,183,0,348,31,40,0.362068966,0.16293279,6.1375
South Central,2023,4,DL,Delta Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",883,194,78.01,2.19,76.46,0,37.34,25,7,12116,5470,367,3618,0,2661,0.219705549,0.16293279,6.1375
South Central,2023,4,F9,Frontier Airlines,AUS,"Austin, TX: Austin - Bergstrom International",24,6,1.86,0,4.11,0,0.03,1,0,190,68,0,121,0,1,0.25,0.16293279,6.1375
South Central,2023,4,MQ,Envoy Air,AUS,"Austin, TX: Austin - Bergstrom International",790,189,41.06,2.64,84.91,0.29,60.1,11,4,10099,2373,264,3792,31,3639,0.239240506,0.16293279,6.1375
South Central,2023,4,NK,Spirit Airlines,AUS,"Austin, TX: Austin - Bergstrom International",239,78,25.51,3.48,32.94,1.83,14.25,8,0,5849,2420,190,2115,46,1078,0.326359833,0.16293279,6.1375
South Central,2023,4,OH,PSA Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",507,74,13.84,10.44,18.8,1.3,29.62,17,2,7438,1939,927,1101,48,3423,0.145956607,0.16293279,6.1375
South Central,2023,3,9E,Endeavor Air Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",1,1,0.78,0,0.22,0,0,0,0,140,109,0,31,0,0,1,0.16293279,6.1375
South Central,2023,3,AA,American Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",13234,3529,820.47,149.77,999.84,8.27,1550.65,304,84,337375,118554,15718,47438,403,155262,0.266661629,0.16293279,6.1375
South Central,2023,3,AA,American Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",555,186,64.1,3.38,48.03,0,70.49,11,1,13079,4236,487,2093,0,6263,0.335135135,0.16293279,6.1375
South Central,2023,3,B6,JetBlue Airways,AUS,"Austin, TX: Austin - Bergstrom International",93,33,14.23,0,10.79,0,7.98,1,0,2315,1344,0,458,0,513,0.35483871,0.16293279,6.1375
South Central,2023,3,B6,JetBlue Airways,IAH,"Houston, TX: George Bush Intercontinental/Houston",85,30,15.65,0,13.42,0,0.93,1,0,1581,1022,0,504,0,55,0.352941176,0.16293279,6.1375
South Central,2023,3,OH,PSA Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",544,100,24.11,10.88,28.66,0.2,36.15,8,6,11162,2830,1643,1587,6,5096,0.183823529,0.16293279,6.1375
South Central,2023,3,QX,Horizon Air,AUS,"Austin, TX: Austin - Bergstrom International",47,10,3.08,0,4.16,0,2.76,0,0,358,116,0,132,0,110,0.212765957,0.16293279,6.1375
South Central,2023,2,AA,American Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12096,2502,699.88,46.34,626.29,3.87,1125.63,580,8,225946,88956,7275,22377,152,107186,0.206845238,0.16293279,6.1375
South Central,2023,2,AS,Alaska Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",217,57,16,0.95,26.98,0,13.07,12,0,2945,1055,50,917,0,923,0.262672811,0.16293279,6.1375
South Central,2023,2,C5,CommuteAir LLC dba Commut,IAH,"Houston, TX: George Bush Intercontinental/Houston",1623,316,62.49,5.48,120.52,0,127.5,13,0,23705,7566,546,4210,0,11383,0.194701171,0.16293279,6.1375
South Central,2023,2,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",8,2,0.73,0,1.27,0,0,0,0,64,11,0,53,0,0,0.25,0.16293279,6.1375
South Central,2023,2,NK,Spirit Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",655,158,54.29,2.83,51.26,1.79,47.83,25,0,12640,5505,152,2895,34,4054,0.241221374,0.16293279,6.1375
South Central,2023,2,OH,PSA Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",30,8,2.27,0,0.54,0,5.18,0,0,1820,1372,0,59,0,389,0.266666667,0.16293279,6.1375
South Central,2023,2,UA,United Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",708,178,72.73,0.69,42.51,0,62.06,18,1,10106,3749,72,1464,0,4821,0.251412429,0.16293279,6.1375
South Central,2023,2,UA,United Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",585,124,49.81,1.56,41.72,0,30.91,18,1,7556,3282,114,1657,0,2503,0.211965812,0.16293279,6.1375
South Central,2023,1,AA,American Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",427,117,25.46,3.61,49.25,1,37.68,6,5,7302,1338,1059,2480,15,2410,0.274004684,0.16293279,6.1375
South Central,2023,1,AS,Alaska Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",62,15,5.58,0,7.88,0,1.54,0,0,520,234,0,255,0,31,0.241935484,0.16293279,6.1375
South Central,2023,1,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",62,21,9.53,1,9.09,0,1.38,1,0,1387,815,18,453,0,101,0.338709677,0.16293279,6.1375
South Central,2023,1,F9,Frontier Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",338,97,36.54,1.51,23.82,0,35.13,18,0,6903,2673,89,1006,0,3135,0.286982249,0.16293279,6.1375
South Central,2023,1,HA,Hawaiian Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",13,1,1,0,0,0,0,0,0,19,19,0,0,0,0,0.076923077,0.16293279,6.1375
South Central,2023,1,NK,Spirit Airlines,AUS,"Austin, TX: Austin - Bergstrom International",249,67,26.16,0.92,24.76,0.99,14.17,4,1,4576,1628,51,1455,41,1401,0.269076305,0.16293279,6.1375
South Central,2023,1,UA,United Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",657,148,61.43,3.69,39.11,0,43.76,27,1,9343,3607,158,1628,0,3950,0.225266362,0.16293279,6.1375
South Central,2023,1,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1352,243,56.62,22.47,52.77,1,110.14,64,3,22416,7217,2449,2897,21,9832,0.179733728,0.16293279,6.1375
South Central,2023,1,YX,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",72,18,3.03,0.63,8.9,0,5.44,1,5,1192,256,70,307,0,559,0.25,0.16293279,6.1375
South East,2023,12,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",244,36,14.15,0.34,12.82,0,8.69,3,0,2184,665,145,521,0,853,0.147540984,0.163766633,6.10625
South East,2023,12,AS,Alaska Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",88,17,6.67,0,8.25,0,2.08,0,0,697,417,0,193,0,87,0.193181818,0.163766633,6.10625
South East,2023,12,DL,Delta Air Lines Network,MCO,"Orlando, FL: Orlando International",1926,276,117.35,4.57,109.92,1,43.16,0,0,15558,8269,463,3578,30,3218,0.143302181,0.163766633,6.10625
